County,Prescriptions,Patients,GEOID
Alamance,"226,779","41,947",37001
Alexander,"75,903","10,852",37003
Alleghany,"19,712","3,517",37005
Anson,"31,384","6,032",37007
Ashe,"51,945","7,784",37009
Avery,"30,059","5,045",37011
Beaufort,"101,202","14,725",37013
Bertie,"28,595","5,243",37015
Bladen,"55,845","8,490",37017
Brunswick,"254,585","43,603",37019
Buncombe,"403,213","66,629",37021
Burke,"157,641","23,493",37023
Cabarrus,"319,733","53,696",37025
Caldwell,"173,671","25,461",37027
Camden,"12,495","2,274",37029
Carteret,"138,575","20,785",37031
Caswell,"19,237","2,921",37033
Catawba,"317,150","50,130",37035
Chatham,"65,482","11,516",37037
Cherokee,"63,492","9,144",37039
Chowan,"19,055","3,841",37041
Clay,"24,490","3,754",37043
Cleveland,"207,993","31,361",37045
Columbus,"117,222","17,197",37047
Craven,"182,139","29,056",37049
Cumberland,"440,375","76,318",37051
Currituck,"24,285","4,200",37053
Dare,"58,897","10,451",37055
Davidson,"254,950","39,751",37057
Davie,"85,367","13,457",37059
Duplin,"67,179","12,057",37061
Durham,"318,866","62,524",37063
Edgecombe,"71,488","12,899",37065
Forsyth,"570,038","100,550",37067
Franklin,"88,816","15,736",37069
Gaston,"468,541","67,570",37071
Gates,"9,329","1,714",37073
Graham,"16,930","2,523",37075
Granville,"66,360","11,726",37077
Greene,"17,771","3,355",37079
Guilford,"737,862","133,541",37081
Halifax,"78,398","13,069",37083
Harnett,"172,890","27,409",37085
Haywood,"119,274","17,984",37087
Henderson,"186,390","31,944",37089
Hertford,"28,212","5,042",37091
Hoke,"56,354","9,836",37093
Hyde,"7,265","1,217",37095
Iredell,"346,426","55,474",37097
Jackson,"59,439","9,439",37099
Johnston,"258,999","44,010",37101
Jones,"20,352","3,110",37103
Lee,"116,219","18,732",37105
Lenoir,"77,233","14,435",37107
Lincoln,"163,197","25,769",37109
Macon,"56,126","10,090",37113
Madison,"33,624","5,351",37115
Martin,"41,243","6,594",37117
McDowell,"79,210","12,445",37111
Mecklenburg,"1,206,702","244,278",37119
Mitchell,"30,829","4,514",37121
Montgomery,"33,916","6,083",37123
Moore,"144,472","25,718",37125
Nash,"139,387","23,901",37127
New Hanover,"399,558","65,749",37129
Northampton,"23,769","4,352",37131
Onslow,"268,840","41,966",37133
Orange,"188,419","34,277",37135
Pamlico,"16,339","2,810",37137
Pasquotank,"50,712","9,829",37139
Pender,"106,637","17,048",37141
Perquimans,"18,531","3,466",37143
Person,"58,964","9,941",37145
Pitt,"273,432","44,358",37147
Polk,"26,627","4,437",37149
Randolph,"195,560","32,273",37151
Richmond,"92,950","13,182",37153
Robeson,"255,228","37,192",37155
Rockingham,"187,886","27,368",37157
Rowan,"238,599","36,388",37159
Rutherford,"134,120","19,037",37161
Sampson,"94,899","15,940",37163
Scotland,"64,420","9,472",37165
Stanly,"113,846","18,016",37167
Stokes,"96,711","14,073",37169
Surry,"151,096","22,881",37171
Swain,"37,997","5,433",37173
Transylvania,"60,974","9,613",37175
Tyrrell,"4,524",824,37177
Union,"313,989","58,493",37179
Vance,"64,174","11,038",37181
Wake,"1,452,939","278,231",37183
Warren,"16,528","3,108",37185
Washington,"19,168","3,222",37187
Watauga,"51,938","9,238",37189
Wayne,"159,513","28,817",37191
Wilkes,"122,744","19,020",37193
Wilson,"116,594","19,405",37195
Yadkin,"78,262","11,505",37197
Yancey,"34,719","5,157",37199