,,STUSAB,Geo Point,Geo Shape,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,COUNTYFP NOZERO
,1,NC,"36.0437098766, -79.3994248175","{""coordinates"":[[[-79.539412,36.045738],[-79.539412,36.045757],[-79.539412,36.045809],[-79.539411,36.045871],[-79.539409,36.046084],[-79.539407,36.04636],[-79.539405,36.046635],[-79.539403,36.04691],[",37,1,1008531,37001,Alamance,Alamance County,6,H1,G4020,268,15500,,A,"1,096,718,106","27,958,505",36.0439535,-79.4005733,1
,2,NC,"35.9210263138, -81.1770268506","{""coordinates"":[[[-81.334209,35.875225],[-81.334153,35.875447],[-81.334053,35.87577],[-81.333962,35.876089],[-81.333871,35.876408],[-81.33377,35.876919],[-81.333737,35.877086],[-81.333689,35.87737],[-",37,3,1008532,37003,Alexander,Alexander County,6.00,H1,G4020,,25860,,A,"673,358,168","9,445,988",35.9209506,-81.1774668,3
,3,NC,"36.4912704378, -81.1278593427","{""coordinates"":[[[-81.327172,36.513253],[-81.327229,36.513413],[-81.327324,36.513707],[-81.327418,36.514001],[-81.32747,36.514385],[-81.327521,36.51477],[-81.327618,36.515259],[-81.327708,36.515542],[",37,5,1008533,37005,Alleghany,Alleghany County,6,H1,G4020,,,,A,"607,139,719","3,676,325",36.4893563,-81.1322987,5
,4,NC,"34.9737894417, -80.102712026","{""coordinates"":[[[-80.307024,34.934104],[-80.306788,34.936136],[-80.306748,34.936468],[-80.306536,34.938322],[-80.306375,34.939738],[-80.305394,34.948247],[-80.304827,34.953175],[-80.304512,34.955912]",37,7,1008534,37007,Anson,Anson County,6,H1,G4020,172,16740,,A,"1,376,478,136","14,603,213",34.9749722,-80.1097633,7
,5,NC,"36.434424701, -81.5005211955","{""coordinates"":[[[-81.677382,36.581444],[-81.677674,36.581575],[-81.677892,36.581691],[-81.678055,36.581812],[-81.678225,36.581916],[-81.678328,36.582026],[-81.678386,36.582102],[-81.678444,36.582207]",37,9,1008535,37009,Ashe,Ashe County,6,H1,G4020,,,,A,"1,100,930,108","8,064,800",36.4434687,-81.4993343,9
,6,NC,"36.0766050343, -81.9226013745","{""coordinates"":[[[-82.016572,36.145136],[-82.016446,36.145318],[-82.016276,36.145562],[-82.016107,36.145805],[-82.015938,36.146048],[-82.015768,36.146291],[-82.015599,36.146534],[-82.01543,36.146778],",37,11,1008536,37011,Avery,Avery County,6,H1,G4020,,,,A,"640,602,134","445,285",36.07209,-81.9202847,11
,7,NC,"35.486983815, -76.8453144055","{""coordinates"":[[[-77.084643,35.552601],[-77.084641,35.552661],[-77.084698,35.552726],[-77.08472,35.55275],[-77.085249,35.553055],[-77.085555,35.553186],[-77.08586,35.553317],[-77.086341,35.553418],[-",37,13,1026333,37013,Beaufort,Beaufort County,6,H1,G4020,272,47820,,A,"2,155,109,574","338,655,073",35.4823128,-76.8420144,13
,8,NC,"36.0656302022, -76.9667121404","{""coordinates"":[[[-77.252318,36.121742],[-77.252444,36.121759],[-77.252966,36.121818],[-77.253507,36.122029],[-77.253859,36.122205],[-77.254334,36.122535],[-77.254621,36.122811],[-77.254757,36.123341]",37,15,1026334,37015,Bertie,Bertie County,6.00,H1,G4020,,,,A,"1,810,858,586","109,088,136",36.0590432,-76.9623641,15
,9,NC,"34.6145873342, -78.5636493115","{""coordinates"":[[[-78.831786,34.611921],[-78.831849,34.612036],[-78.832035,34.612289],[-78.832135,34.612365],[-78.832347,34.612393],[-78.832659,34.612459],[-78.832979,34.612585],[-78.833311,34.612778]",37,17,1026336,37017,Bladen,Bladen County,6,H1,G4020,,,,A,"2,265,887,723","33,010,866",34.5919375,-78.5394885,17
,10,NC,"34.0388755841, -78.2274071617","{""coordinates"":[[[-78.250176,34.222797],[-78.248608,34.225196],[-78.246537,34.228361],[-78.246199,34.228882],[-78.245571,34.229842],[-78.245563,34.229855],[-78.244961,34.230776],[-78.244939,34.230809]",37,19,1026340,37019,Brunswick,Brunswick County,6,H1,G4020,396,34820,,A,"2,199,399,191","518,904,287",34.0387542,-78.2277653,19
,11,NC,"35.611177887, -82.5301070587","{""coordinates"":[[[-82.675691,35.726424],[-82.67564,35.726422],[-82.675518,35.72642],[-82.674958,35.726484],[-82.674855,35.726504],[-82.674397,35.726572],[-82.673966,35.726573],[-82.673428,35.726482],[",37,21,1008538,37021,Buncombe,Buncombe County,6,H1,G4020,120,11700,,A,"1,700,318,985","8,942,803",35.6093706,-82.5304234,21
,12,NC,"35.7496106399, -81.7047784739","{""coordinates"":[[[-81.919242,35.848759],[-81.91909,35.849006],[-81.918506,35.850053],[-81.918207,35.850517],[-81.91758,35.851674],[-81.917541,35.851898],[-81.917526,35.852085],[-81.917632,35.853304],[",37,23,1008539,37023,Burke,Burke County,6,H1,G4020,,25860,,A,"1,311,146,877","20,719,896",35.746182,-81.7061795,23
,13,NC,"35.3867940405, -80.5518508851","{""coordinates"":[[[-80.764295,35.400203],[-80.76481,35.400517],[-80.766093,35.401286],[-80.766247,35.401378],[-80.766345,35.401436],[-80.766414,35.401478],[-80.765963,35.403155],[-80.765861,35.403531],",37,25,1008540,37025,Cabarrus,Cabarrus County,6,H1,G4020,172,16740,,A,"935,650,180","7,005,427",35.3883455,-80.5527284,25
,14,NC,"35.9530379334, -81.5464366451","{""coordinates"":[[[-81.745617,36.052928],[-81.745538,36.053044],[-81.745373,36.053287],[-81.745209,36.053529],[-81.745045,36.053771],[-81.74488,36.054014],[-81.744716,36.054256],[-81.744551,36.054499],",37,27,1008541,37027,Caldwell,Caldwell County,6,H1,G4020,,25860,,A,"1,222,192,494","7,038,403",35.966395,-81.5125411,27
,15,NC,"36.3411216216, -76.1609504039","{""coordinates"":[[[-76.250653,36.363678],[-76.251017,36.363597],[-76.25141,36.36358],[-76.251789,36.363519],[-76.252168,36.363457],[-76.252749,36.36347],[-76.253389,36.363586],[-76.25361,36.363539],[-7",37,29,1026335,37029,Camden,Camden County,6,H1,G4020,545,47260,,A,"622,448,680","181,112,906",36.3423438,-76.1624876,29
,16,NC,"34.8612598084, -76.5357430669","{""coordinates"":[[[-76.788024,34.846423],[-76.787781,34.846427],[-76.787447,34.846432],[-76.787113,34.846437],[-76.78678,34.846442],[-76.786446,34.846448],[-76.786112,34.846453],[-76.785779,34.846458],",37,31,1026337,37031,Carteret,Carteret County,6,H1,G4020,404,33980,,A,"1,314,684,783","2,131,065,796",34.8583428,-76.5358602,31
,17,NC,"36.3932742158, -79.3335234769","{""coordinates"":[[[-79.263058,36.54131],[-79.26275,36.541307],[-79.261701,36.541293],[-79.260653,36.541278],[-79.257507,36.541235],[-79.252964,36.541172],[-79.250705,36.54114],[-79.250509,36.541141],[-",37,33,1008542,37033,Caswell,Caswell County,6,H1,G4020,,,,A,"1,101,694,778","8,641,803",36.3942984,-79.339609,33
,18,NC,"35.662042354, -81.2150705598","{""coordinates"":[[[-81.200068,35.555452],[-81.200385,35.555477],[-81.200725,35.555501],[-81.209407,35.555953],[-81.210426,35.556005],[-81.211773,35.556083],[-81.212624,35.556124],[-81.215509,35.556247]",37,35,1008543,37035,Catawba,Catawba County,6,H1,G4020,,25860,,A,"1,039,550,834","37,945,134",35.6618826,-81.2149057,35
,19,NC,"35.7025721296, -79.2552758614","{""coordinates"":[[[-79.544701,35.77054],[-79.544663,35.771732],[-79.544649,35.772197],[-79.544645,35.772252],[-79.544636,35.772529],[-79.544577,35.774191],[-79.544552,35.774897],[-79.544542,35.775188],",37,37,1008544,37037,Chatham,Chatham County,6,H1,G4020,450,20500,,A,"1,765,648,430","70,626,784",35.7049939,-79.2514542,37
,20,NC,"35.1338574515, -84.063444228","{""coordinates"":[[[-84.29803,35.16838],[-84.298007,35.168507],[-84.297996,35.168565],[-84.29796,35.168779],[-84.297912,35.169052],[-84.297894,35.169155],[-84.297865,35.169325],[-84.297817,35.169598],[-",37,39,1008545,37039,Cherokee,Cherokee County,6,H1,G4020,,,,A,"1,179,845,619","28,813,485",35.1371499,-84.0614491,39
,21,NC,"36.1265615389, -76.6021303656","{""coordinates"":[[[-76.70984,36.095882],[-76.70986,36.095985],[-76.709871,36.096047],[-76.710078,36.097168],[-76.710202,36.097573],[-76.710221,36.097634],[-76.71054,36.098678],[-76.710919,36.099712],[-",37,41,1025822,37041,Chowan,Chowan County,6,H1,G4020,,,,A,"447,179,930","157,966,162",36.128979,-76.6027521,41
,22,NC,"35.0571811284, -83.7501767115","{""coordinates"":[[[-83.718538,34.987519],[-83.719211,34.987527],[-83.719884,34.987535],[-83.720557,34.987543],[-83.721229,34.987551],[-83.721566,34.987556],[-83.721902,34.98756],[-83.72193,34.98756],[-",37,43,1008546,37043,Clay,Clay County,6,H1,G4020,,,,A,"556,804,505","15,017,755",35.0529971,-83.7522638,43
,23,NC,"35.3341018022, -81.5555471412","{""coordinates"":[[[-81.768102,35.180611],[-81.766251,35.189596],[-81.765432,35.193593],[-81.764253,35.199404],[-81.764215,35.199592],[-81.764106,35.200129],[-81.763995,35.200678],[-81.763939,35.20095],",37,45,1008547,37045,Cleveland,Cleveland County,6,H1,G4020,172,43140,,A,"1,202,311,340","10,177,696",35.3346302,-81.5571145,45
,24,NC,"34.2656450828, -78.6550308717","{""coordinates"":[[[-78.33215,34.368496],[-78.331832,34.368623],[-78.331528,34.368744],[-78.331224,34.368865],[-78.33092,34.368986],[-78.330616,34.369107],[-78.330311,34.369228],[-78.330007,34.369348],[",37,47,1026339,37047,Columbus,Columbus County,6,H1,G4020,,,,A,"2,429,722,359","43,711,694",34.2616017,-78.6393077,47
,25,NC,"35.117685821, -77.082003837","{""coordinates"":[[[-77.209028,35.09147],[-77.209257,35.091583],[-77.209272,35.09159],[-77.209545,35.091722],[-77.209833,35.091862],[-77.210408,35.092142],[-77.210984,35.092422],[-77.211559,35.092702],[",37,49,1026123,37049,Craven,Craven County,6,H1,G4020,404,35100,,A,"1,830,014,535","172,777,667",35.1168292,-77.0813197,49
,26,NC,"35.048611942, -78.8275607671","{""coordinates"":[[[-78.935642,35.218759],[-78.93521,35.219036],[-78.934397,35.21956],[-78.93397,35.219876],[-78.933872,35.219943],[-78.933609,35.220134],[-78.933346,35.220325],[-78.932954,35.220572],[-",37,51,1026124,37051,Cumberland,Cumberland County,6,H1,G4020,246,22180,,A,"1,690,129,718","15,279,291",35.0501921,-78.8287187,51
,27,NC,"36.3672994836, -75.936949201","{""coordinates"":[[[-76.164866,36.430504],[-76.165583,36.431088],[-76.166455,36.431801],[-76.167261,36.432458],[-76.168066,36.433115],[-76.168777,36.433693],[-76.168891,36.433788],[-76.168929,36.433819]",37,53,1026125,37053,Currituck,Currituck County,6,H1,G4020,545,47260,,A,"678,350,084","685,089,722",36.3721739,-75.9412242,53
,28,NC,"35.664936694, -75.6852333134","{""coordinates"":[[[-75.773635,36.050714],[-75.77306,36.051074],[-75.772538,36.051431],[-75.772015,36.051788],[-75.771492,36.052145],[-75.770989,36.052528],[-75.770486,36.052911],[-75.769984,36.053294],",37,55,1026133,37055,Dare,Dare County,6,H1,G4020,545,28620,,A,"992,557,887","3,000,513,932",35.6062688,-75.7675364,55
,29,NC,"35.7933524917, -80.2127487756","{""coordinates"":[[[-80.199178,36.026805],[-80.198833,36.026805],[-80.198495,36.026805],[-80.198156,36.026805],[-80.197818,36.026805],[-80.197479,36.026805],[-80.197141,36.026805],[-80.19685,36.026805],",37,57,1008548,37057,Davidson,Davidson County,6,H1,G4020,268,49180,,A,"1,432,727,271","37,436,736",35.7951312,-80.207107,57
,30,NC,"35.929110866, -80.5444636482","{""coordinates"":[[[-80.699777,35.962172],[-80.699503,35.965719],[-80.698862,35.974524],[-80.69726,35.996217],[-80.696671,36.004209],[-80.696458,36.007074],[-80.696178,36.010178],[-80.695541,36.019444],",37,59,1008549,37059,Davie,Davie County,6,H1,G4020,268,49180,,A,"682,965,396","7,401,507",35.9293554,-80.5425524,59
,31,NC,"34.9365348363, -77.9330277459","{""coordinates"":[[[-78.157057,35.04038],[-78.157811,35.051223],[-78.158152,35.055978],[-78.158173,35.056442],[-78.158926,35.067084],[-78.159287,35.072248],[-78.15959,35.076592],[-78.159676,35.077728],[",37,61,1026132,37061,Duplin,Duplin County,6,H1,G4020,,,,A,"2,110,215,814","14,137,851",34.9344033,-77.9335434,61
,32,NC,"36.0360299243, -78.8765926949","{""coordinates"":[[[-78.982633,36.056544],[-78.98262,36.056614],[-78.982612,36.056656],[-78.982582,36.056832],[-78.982549,36.057022],[-78.982001,36.060147],[-78.981718,36.061736],[-78.981617,36.062282],",37,63,1008550,37063,Durham,Durham County,6,H1,G4020,450,20500,,A,"741,994,332","29,467,007",36.0338282,-78.8781246,63
,33,NC,"35.912880671, -77.5970588882","{""coordinates"":[[[-77.816591,35.891214],[-77.816156,35.892276],[-77.815463,35.893953],[-77.815397,35.894118],[-77.814769,35.895615],[-77.814259,35.896843],[-77.814158,35.897102],[-77.813866,35.897794]",37,65,1008551,37065,Edgecombe,Edgecombe County,6,H1,G4020,468,40580,,A,"1,309,064,804","3,715,266",35.9170773,-77.6027422,65
,34,NC,"36.1306195485, -80.256300016","{""coordinates"":[[[-80.340298,36.260579],[-80.339951,36.260578],[-80.339643,36.260575],[-80.339561,36.260574],[-80.339396,36.260573],[-80.337907,36.260562],[-80.337166,36.260553],[-80.337027,36.26055],",37,67,1008552,37067,Forsyth,Forsyth County,6,H1,G4020,268,49180,,A,"1,056,221,627","11,712,626",36.1324661,-80.2569608,67
,35,NC,"36.0827733527, -78.2856965824","{""coordinates"":[[[-78.411412,36.170916],[-78.408235,36.177054],[-78.39663,36.199429],[-78.393092,36.206256],[-78.390531,36.211187],[-78.388091,36.215892],[-78.383514,36.224709],[-78.379923,36.23163],[",37,69,1008553,37069,Franklin,Franklin County,6,H1,G4020,450,39580,,A,"1,273,757,138","7,178,583",36.0882406,-78.2830903,69
,36,NC,"35.2943489527, -81.1802416273","{""coordinates"":[[[-81.364925,35.311225],[-81.366121,35.313413],[-81.366269,35.313713],[-81.366398,35.314016],[-81.366471,35.314229],[-81.366523,35.314421],[-81.366581,35.314704],[-81.3666,35.314857],[",37,71,1008554,37071,Gaston,Gaston County,6,H1,G4020,172,16740,,A,"921,386,282","20,552,442",35.2933443,-81.1772556,71
,37,NC,"36.4449435708, -76.7005266521","{""coordinates"":[[[-76.936044,36.4784],[-76.936223,36.478905],[-76.936269,36.479204],[-76.936316,36.479502],[-76.936338,36.479819],[-76.936361,36.480136],[-76.936337,36.48047],[-76.936313,36.480805],[-",37,73,1026126,37073,Gates,Gates County,6,H1,G4020,545,47260,,A,"882,181,716","13,292,008",36.4421353,-76.7023552,73
,38,NC,"35.350171951, -83.833581803","{""coordinates"":[[[-84.008305,35.371996],[-84.008493,35.372148],[-84.008609,35.372346],[-84.008621,35.372378],[-84.008694,35.372575],[-84.008718,35.372697],[-84.008742,35.372818],[-84.008765,35.373126]",37,75,1008555,37075,Graham,Graham County,6,H1,G4020,,,,A,"756,189,024","25,057,776",35.3483644,-83.8309147,75
,39,NC,"36.3040698262, -78.6527194252","{""coordinates"":[[[-78.797482,36.432806],[-78.79748,36.432895],[-78.797459,36.433728],[-78.797451,36.434005],[-78.797444,36.434283],[-78.797437,36.43456],[-78.797416,36.435393],[-78.797401,36.435948],[",37,77,1008556,37077,Granville,Granville County,6,H1,G4020,450,20500,,A,"1,377,850,155","14,503,653",36.299884,-78.6576338,77
,40,NC,"35.4849957203, -77.6757626742","{""coordinates"":[[[-77.80623,35.583474],[-77.801777,35.586205],[-77.801527,35.586364],[-77.799873,35.58738],[-77.788709,35.594237],[-77.788617,35.594298],[-77.787951,35.594707],[-77.787549,35.594955],[",37,79,1008557,37079,Greene,Greene County,6,H1,G4020,,,,A,"690,839,648","1,228,821",35.481959,-77.6816876,79
,41,NC,"36.0794717315, -79.7889042685","{""coordinates"":[[[-80.038554,36.146463],[-80.038544,36.146647],[-80.038435,36.148456],[-80.03843,36.14874],[-80.038389,36.149516],[-80.03837,36.149948],[-80.038367,36.150004],[-80.038337,36.150688],[-",37,81,1008558,37081,Guilford,Guilford County,6,H1,G4020,268,24660,,A,"1,672,939,034","30,330,023",36.079065,-79.7886652,81
,42,NC,"36.2574485453, -77.6517329831","{""coordinates"":[[[-77.935883,36.318703],[-77.935758,36.319065],[-77.934658,36.322234],[-77.934634,36.32231],[-77.933106,36.326708],[-77.932646,36.328025],[-77.931285,36.331768],[-77.929927,36.335264],",37,83,1008559,37083,Halifax,Halifax County,6,H1,G4020,468,40260,,A,"1,874,472,932","16,919,664",36.2514375,-77.6448423,83
,43,NC,"35.3686291614, -78.8694125204","{""coordinates"":[[[-79.076418,35.414787],[-79.071543,35.419676],[-79.069501,35.421717],[-79.068161,35.423066],[-79.067843,35.423388],[-79.065135,35.4261],[-79.064339,35.426893],[-79.064094,35.427143],[",37,85,1008560,37085,Harnett,Harnett County,6,H1,G4020,246,22180,,A,"1,541,100,224","16,378,002",35.3686348,-78.8716104,85
,44,NC,"35.5560557128, -82.9821729698","{""coordinates"":[[[-83.156565,35.552089],[-83.156059,35.552351],[-83.155835,35.552622],[-83.15589,35.553041],[-83.155939,35.553337],[-83.155988,35.553632],[-83.156037,35.553928],[-83.156208,35.554296],",37,87,1008561,37087,Haywood,Haywood County,6,H1,G4020,120,11700,,A,"1,433,713,829","2,438,478",35.5588823,-82.9813074,87
,45,NC,"35.3362263031, -82.4799463782","{""coordinates"":[[[-82.558487,35.444062],[-82.5581,35.444074],[-82.557911,35.444077],[-82.556952,35.444106],[-82.556901,35.444106],[-82.55491,35.444156],[-82.550433,35.44428],[-82.5494,35.444296],[-82.",37,89,1008562,37089,Henderson,Henderson County,6,H1,G4020,120,11700,,A,"965,918,074","5,547,623",35.3364146,-82.4797406,89
,46,NC,"36.3586360305, -76.9807147831","{""coordinates"":[[[-77.159534,36.365772],[-77.159437,36.366019],[-77.159335,36.366282],[-77.159232,36.366545],[-77.159129,36.366808],[-77.159027,36.367071],[-77.158924,36.367334],[-77.158822,36.367597]",37,91,1026127,37091,Hertford,Hertford County,6,H1,G4020,,,,A,"914,689,324","18,737,419",36.3635174,-76.981616,91
,47,NC,"35.0175290075, -79.237290715","{""coordinates"":[[[-79.367044,34.962484],[-79.36715,34.962481],[-79.367209,34.962421],[-79.367216,34.962414],[-79.367266,34.962311],[-79.367296,34.962238],[-79.367433,34.962137],[-79.367613,34.962123],",37,93,1008563,37093,Hoke,Hoke County,6,H1,G4020,246,22180,,A,"1,010,416,546","3,941,216",35.0172328,-79.2419635,93
,48,NC,"35.4081187361, -76.1449651093","{""coordinates"":[[[-76.429323,35.315244],[-76.429844,35.315719],[-76.430071,35.315925],[-76.430297,35.316131],[-76.430524,35.316338],[-76.43075,35.316544],[-76.430977,35.31675],[-76.43121,35.316952],[-",37,95,1008564,37095,Hyde,Hyde County,6,H1,G4020,,,,A,"1,585,966,935","2,192,929,400",35.4081567,-76.1536867,95
,49,NC,"35.8070259189, -80.8734378255","{""coordinates"":[[[-81.0299,35.889968],[-81.029893,35.889991],[-81.029848,35.890124],[-81.027228,35.897465],[-81.026384,35.899836],[-81.02376,35.907196],[-81.023471,35.90801],[-81.022028,35.912066],[-8",37,97,1008565,37097,Iredell,Iredell County,6,H1,G4020,172,16740,,A,"1,487,420,594","59,920,122",35.8062493,-80.8745203,97
