,,STUSAB,Geo Point,Geo Shape,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,COUNTYFP NOZERO
,50,NC,"35.2875866253, -83.1408496187","{""coordinates"":[[[-83.322956,35.307387],[-83.322967,35.307427],[-83.322966,35.307647],[-83.322898,35.307789],[-83.32283,35.307953],[-83.322429,35.308288],[-83.322191,35.308564],[-83.321856,35.308869],",37,99,1008566,37099,Jackson,Jackson County,6,H1,G4020,,19000,,A,"1,271,961,083","9,754,330",35.2810521,-83.1199622,99
,51,NC,"35.5178069265, -78.3657109025","{""coordinates"":[[[-78.324246,35.779002],[-78.323755,35.77928],[-78.320102,35.781349],[-78.319192,35.781832],[-78.319043,35.78193],[-78.315972,35.783663],[-78.315291,35.784045],[-78.314995,35.784209],[",37,101,1026327,37101,Johnston,Johnston County,6,H1,G4020,450,39580,,A,"2,049,252,369","11,592,754",35.5134188,-78.3673482,101
,52,NC,"35.0217248029, -77.3551679748","{""coordinates"":[[[-77.577572,34.978371],[-77.577778,34.978394],[-77.57838,34.978457],[-77.58099,34.978715],[-77.585467,34.979159],[-77.585994,34.97921],[-77.588771,34.979483],[-77.597321,34.980337],[-",37,103,1026338,37103,Jones,Jones County,6,H1,G4020,404,35100,,A,"1,220,836,962","6,031,825",35.0322677,-77.3561946,103
,53,NC,"35.4751864248, -79.1714836119","{""coordinates"":[[[-79.280143,35.534112],[-79.278731,35.533234],[-79.276705,35.532157],[-79.276283,35.53197],[-79.27581,35.531827],[-79.275541,35.531779],[-79.275091,35.531806],[-79.274467,35.531916],[",37,105,1008567,37105,Lee,Lee County,6,H1,G4020,246,41820,,A,"660,607,408","10,725,289",35.4763365,-79.1721174,105
,54,NC,"35.2387731611, -77.6412486292","{""coordinates"":[[[-77.830886,35.233455],[-77.830876,35.233641],[-77.830852,35.234056],[-77.830843,35.234182],[-77.830809,35.234806],[-77.830528,35.239394],[-77.830423,35.241109],[-77.830401,35.24149],",37,107,1008568,37107,Lenoir,Lenoir County,6,H1,G4020,272,28820,,A,"1,033,630,022","5,900,301",35.2400677,-77.6355095,107
,55,NC,"35.4855950234, -81.2235326264","{""coordinates"":[[[-81.36112,35.416542],[-81.3613,35.41655],[-81.361815,35.416568],[-81.364072,35.416651],[-81.368131,35.416802],[-81.369317,35.416846],[-81.370394,35.416885],[-81.370891,35.416902],[-8",37,109,1008569,37109,Lincoln,Lincoln County,6,H1,G4020,172,16740,,A,"766,230,937","23,359,099",35.4884913,-81.2268916,109
,56,NC,"35.1504672096, -83.4221767088","{""coordinates"":[[[-83.580478,35.29146],[-83.578479,35.29165],[-83.576813,35.291808],[-83.57648,35.291839],[-83.575779,35.291906],[-83.573038,35.292165],[-83.572815,35.292187],[-83.569483,35.292502],[-",37,113,1025833,37113,Macon,Macon County,6,H1,G4020,,,,A,"1,335,344,512","10,604,264",35.1529593,-83.421901,113
,57,NC,"35.8580358086, -82.7057582627","{""coordinates"":[[[-82.916462,35.84156],[-82.916343,35.841663],[-82.916322,35.841793],[-82.916427,35.84195],[-82.916573,35.842096],[-82.916704,35.842364],[-82.916868,35.84261],[-82.917007,35.842839],[-",37,115,1025834,37115,Madison,Madison County,6,H1,G4020,120,11700,,A,"1,164,497,715","4,840,763",35.8642073,-82.7126299,115
,58,NC,"35.843213981, -77.109232267","{""coordinates"":[[[-77.349342,35.867593],[-77.34907,35.867852],[-77.348919,35.868028],[-77.348184,35.868907],[-77.348081,35.869123],[-77.348043,35.869208],[-77.347992,35.869672],[-77.347718,35.870529],",37,117,1026328,37117,Martin,Martin County,6,H1,G4020,,,,A,"1,182,135,160","746,610",35.8473006,-77.1196022,117
,59,NC,"35.6816924709, -82.0493124426","{""coordinates"":[[[-82.16776,35.787486],[-82.167795,35.787583],[-82.167815,35.788099],[-82.167849,35.788303],[-82.167864,35.788581],[-82.16788,35.78886],[-82.167895,35.789138],[-82.167861,35.789253],[-",37,111,1025836,37111,McDowell,McDowell County,6,H1,G4020,120,32000,,A,"1,139,477,323","13,977,081",35.6822711,-82.0480438,111
,60,NC,"35.2467670437, -80.8327311406","{""coordinates"":[[[-80.752906,35.415604],[-80.752409,35.41456],[-80.752365,35.414471],[-80.752167,35.41405],[-80.753355,35.413845],[-80.754904,35.413577],[-80.755155,35.413534],[-80.755228,35.413522],[",37,119,1008570,37119,Mecklenburg,Mecklenburg County,6,H1,G4020,172,16740,,A,"1,356,068,834","58,270,787",35.2468623,-80.8338317,119
,61,NC,"36.0132038869, -82.1635815487","{""coordinates"":[[[-82.245215,36.131221],[-82.245176,36.131231],[-82.245097,36.131249],[-82.245015,36.131298],[-82.244846,36.131474],[-82.244595,36.13176],[-82.244385,36.131983],[-82.244298,36.132079],",37,121,1008571,37121,Mitchell,Mitchell County,6,H1,G4020,,,,A,"573,036,225","1,632,150",36.013102,-82.1635541,121
,62,NC,"35.332466935, -79.9054790812","{""coordinates"":[[[-80.05978,35.381137],[-80.059787,35.381151],[-80.060824,35.383228],[-80.060873,35.383327],[-80.060918,35.383417],[-80.060939,35.383458],[-80.060947,35.383474],[-80.061457,35.384499],",37,123,1008572,37123,Montgomery,Montgomery County,6,H1,G4020,,,,A,"1,273,075,615","25,886,763",35.3344151,-79.9066023,123
,63,NC,"35.3106538555, -79.4813744392","{""coordinates"":[[[-79.57519,35.514732],[-79.566957,35.514863],[-79.563999,35.51491],[-79.563108,35.514924],[-79.555804,35.515039],[-79.55573,35.51504],[-79.551566,35.515103],[-79.551262,35.515106],[-7",37,125,1008573,37125,Moore,Moore County,6,H1,G4020,246,38240,,A,"1,806,973,893","20,724,316",35.3082717,-79.4927248,125
,64,NC,"35.9672502839, -77.9864448378","{""coordinates"":[[[-78.122005,36.030478],[-78.121412,36.03136],[-78.117428,36.03731],[-78.117289,36.037517],[-78.113059,36.043832],[-78.108472,36.050674],[-78.106572,36.05351],[-78.104965,36.055908],[-",37,127,1008574,37127,Nash,Nash County,6,H1,G4020,468,40580,,A,"1,399,742,823","6,174,819",35.9659447,-77.9875546,127
,65,NC,"34.1815553357, -77.865597569","{""coordinates"":[[[-77.956608,34.192488],[-77.956915,34.195396],[-77.957004,34.196226],[-77.957279,34.197291],[-77.959534,34.201392],[-77.959631,34.201567],[-77.959676,34.201649],[-77.960282,34.202413]",37,129,1026329,37129,New Hanover,New Hanover County,6,H1,G4020,,48900,,A,"497,927,594","353,813,801",34.183442,-77.8642088,129
,66,NC,"36.4177312434, -77.3968212099","{""coordinates"":[[[-77.587097,36.545149],[-77.586813,36.54515],[-77.586464,36.545152],[-77.586114,36.545153],[-77.585765,36.545154],[-77.585415,36.545155],[-77.585066,36.545157],[-77.584716,36.545158],",37,131,1008575,37131,Northampton,Northampton County,6,H1,G4020,468,40260,,A,"1,389,988,119","35,935,817",36.4217739,-77.3983518,131
,67,NC,"34.709836363, -77.4157658244","{""coordinates"":[[[-77.679879,34.734905],[-77.679818,34.739175],[-77.679438,34.760087],[-77.679434,34.760255],[-77.679419,34.760914],[-77.679381,34.762566],[-77.67937,34.763084],[-77.679347,34.764124],",37,133,1026341,37133,Onslow,Onslow County,6,H1,G4020,,27340,,A,"1,973,754,758","370,685,631",34.7631087,-77.4994691,133
,68,NC,"36.0611182361, -79.120649356","{""coordinates"":[[[-79.261976,36.035052],[-79.261965,36.035357],[-79.261806,36.039772],[-79.261807,36.039873],[-79.26086,36.040086],[-79.260896,36.040213],[-79.261261,36.041509],[-79.261745,36.041468],",37,135,1008576,37135,Orange,Orange County,6,H1,G4020,450,20500,,A,"1,029,672,897","8,807,050",36.0625255,-79.120034,135
,69,NC,"35.151021226, -76.6694598427","{""coordinates"":[[[-76.774146,35.222756],[-76.77397,35.222769],[-76.769236,35.223233],[-76.769046,35.22325],[-76.768711,35.22328],[-76.768375,35.22331],[-76.76804,35.22334],[-76.767705,35.22337],[-76.7",37,137,1023355,37137,Pamlico,Pamlico County,6,H1,G4020,404,35100,,A,"871,546,184","583,061,138",35.1475747,-76.6652684,137
,70,NC,"36.2650187228, -76.2492413613","{""coordinates"":[[[-76.394924,36.29309],[-76.394843,36.293346],[-76.394731,36.293527],[-76.394633,36.293687],[-76.39453,36.294154],[-76.39447,36.29427],[-76.394456,36.294297],[-76.39453,36.294625],[-76",37,139,1026330,37139,Pasquotank,Pasquotank County,6,H1,G4020,545,21020,,A,"587,616,451","161,745,167",36.265199,-76.2606906,139
,71,NC,"34.5150997489, -77.8884355846","{""coordinates"":[[[-78.233546,34.580362],[-78.233119,34.580909],[-78.232925,34.581157],[-78.232744,34.581389],[-78.232564,34.58162],[-78.232384,34.58185],[-78.232203,34.582082],[-78.232023,34.582312],[",37,141,1026129,37141,Pender,Pender County,6,H1,G4020,,48900,,A,"2,256,645,338","162,833,419",34.5125561,-77.8881063,141
,72,NC,"36.1772228503, -76.4076199893","{""coordinates"":[[[-76.586398,36.213414],[-76.586412,36.213491],[-76.586449,36.213765],[-76.586523,36.214314],[-76.586597,36.214863],[-76.586671,36.215412],[-76.586708,36.215686],[-76.586782,36.216235]",37,143,1025841,37143,Perquimans,Perquimans County,6,H1,G4020,545,21020,,A,"640,169,367","211,759,806",36.1808969,-76.4032445,143
,73,NC,"36.3900951244, -78.9718051426","{""coordinates"":[[[-79.143179,36.446747],[-79.143173,36.446854],[-79.143161,36.447067],[-79.143147,36.44732],[-79.143128,36.447673],[-79.143072,36.448694],[-79.142982,36.450343],[-79.142964,36.450676],",37,145,1008577,37145,Person,Person County,6,H1,G4020,450,20500,,A,"1,016,140,154","31,220,109",36.3863503,-78.9656233,145
,74,NC,"35.5932989746, -77.3744965519","{""coordinates"":[[[-77.686544,35.647129],[-77.686718,35.647292],[-77.687445,35.647632],[-77.687707,35.647852],[-77.687822,35.648022],[-77.687909,35.648236],[-77.68797,35.648329],[-77.687997,35.648456],",37,147,1008578,37147,Pitt,Pitt County,6,H1,G4020,272,24780,,A,"1,689,629,354","8,238,588",35.5924897,-77.3727387,147
,75,NC,"35.2792789622, -82.1696779265","{""coordinates"":[[[-82.305681,35.326818],[-82.305661,35.327007],[-82.305628,35.327315],[-82.305621,35.327711],[-82.305687,35.328156],[-82.305719,35.328468],[-82.305751,35.32878],[-82.305783,35.329092],",37,149,1008579,37149,Polk,Polk County,6,H1,G4020,,,,A,"615,606,314","1,964,035",35.2779011,-82.1676211,149
,76,NC,"35.7103417044, -79.8060069064","{""coordinates"":[[[-79.763309,35.908842],[-79.762759,35.908817],[-79.759395,35.908669],[-79.75516,35.908473],[-79.754858,35.908463],[-79.750799,35.908293],[-79.750082,35.908268],[-79.744141,35.908023],",37,151,1008580,37151,Randolph,Randolph County,6,H1,G4020,268,24660,,A,"2,026,229,975","19,767,036",35.7099148,-79.8062153,151
,77,NC,"35.0060483545, -79.7477780226","{""coordinates"":[[[-79.882298,35.050675],[-79.882623,35.050954],[-79.882866,35.051146],[-79.883109,35.051338],[-79.883352,35.05153],[-79.883596,35.051722],[-79.883786,35.051857],[-79.884114,35.052078],",37,153,1008581,37153,Richmond,Richmond County,6,H1,G4020,,40460,,A,"1,226,849,546","15,575,097",35.004636,-79.7556946,153
,78,NC,"34.6402420514, -79.1038649277","{""coordinates"":[[[-79.419309,34.596243],[-79.419426,34.596338],[-79.423089,34.599299],[-79.424562,34.600504],[-79.42679,34.6023],[-79.428701,34.603847],[-79.434315,34.608376],[-79.437503,34.610948],[-",37,155,1026130,37155,Robeson,Robeson County,6,H1,G4020,246,31300,,A,"2,453,435,687","5,076,395",34.6392096,-79.1008811,155
,79,NC,"36.3960127906, -79.7749871967","{""coordinates"":[[[-79.988026,36.542441],[-79.987779,36.542442],[-79.987436,36.542443],[-79.987093,36.542444],[-79.98675,36.542445],[-79.986407,36.542446],[-79.986064,36.542448],[-79.985721,36.542448],",37,157,1008582,37157,Rockingham,Rockingham County,6,H1,G4020,268,24660,,A,"1,464,997,156","18,444,290",36.3818062,-79.7827539,157
,80,NC,"35.6394734632, -80.5247717485","{""coordinates"":[[[-80.752094,35.727498],[-80.751882,35.7281],[-80.75171,35.728587],[-80.747611,35.740228],[-80.744745,35.748347],[-80.744691,35.748502],[-80.744264,35.749714],[-80.739866,35.762187],[-",37,159,1008583,37159,Rowan,Rowan County,6,H1,G4020,172,16740,,A,"1,324,727,249","32,231,668",35.6413551,-80.5217214,159
,81,NC,"35.4025956291, -81.9198334642","{""coordinates"":[[[-82.115167,35.387361],[-82.115201,35.387388],[-82.115583,35.38751],[-82.115964,35.387633],[-82.116355,35.387678],[-82.116522,35.387667],[-82.117091,35.387608],[-82.117506,35.387566],",37,161,1008584,37161,Rutherford,Rutherford County,6,H1,G4020,,22580,,A,"1,464,476,077","4,692,959",35.4027469,-81.9195825,161
,82,NC,"34.9915361594, -78.3713906105","{""coordinates"":[[[-78.617079,35.22831],[-78.61714,35.228448],[-78.617266,35.228619],[-78.6175,35.228779],[-78.617687,35.228999],[-78.617707,35.229101],[-78.61772,35.229164],[-78.617768,35.229256],[-78",37,163,1026131,37163,Sampson,Sampson County,6,H1,G4020,,,,A,"2,449,357,434","4,923,826",34.9892978,-78.3711743,163
,83,NC,"34.8408848102, -79.4804292418","{""coordinates"":[[[-79.570431,34.903371],[-79.561856,34.91035],[-79.562209,34.910428],[-79.562547,34.910501],[-79.562917,34.910583],[-79.56327,34.910661],[-79.563624,34.910738],[-79.563977,34.910816],[",37,165,1008585,37165,Scotland,Scotland County,6,H1,G4020,246,29900,,A,"826,570,080","3,841,985",34.8400226,-79.4773366,165
,84,NC,"35.3119550622, -80.2509863077","{""coordinates"":[[[-80.373778,35.384751],[-80.373658,35.384929],[-80.372621,35.386499],[-80.372384,35.386856],[-80.369584,35.391084],[-80.369047,35.391896],[-80.368874,35.392127],[-80.368337,35.392938]",37,167,1025844,37167,Stanly,Stanly County,6,H1,G4020,172,10620,,A,"1,023,390,690","25,222,524",35.3104492,-80.2543742,167
,85,NC,"36.4019040049, -80.2395157151","{""coordinates"":[[[-80.444414,36.474637],[-80.444399,36.474908],[-80.444382,36.475193],[-80.444365,36.475478],[-80.444359,36.475587],[-80.444331,36.476048],[-80.444114,36.479796],[-80.444104,36.479962]",37,169,1008586,37169,Stokes,Stokes County,6,H1,G4020,268,49180,,A,"1,162,941,527","17,582,831",36.3935052,-80.2662145,169
,86,NC,"36.4148205561, -80.6880779273","{""coordinates"":[[[-80.868746,36.326447],[-80.868871,36.326516],[-80.869005,36.326593],[-80.869305,36.326769],[-80.86936,36.326802],[-80.870124,36.327266],[-80.870215,36.327321],[-80.870502,36.327507],",37,171,1008587,37171,Surry,Surry County,6,H1,G4020,268,34340,,A,"1,382,386,028","10,337,426",36.415416,-80.6864631,171
,87,NC,"35.4868150519, -83.4927393736","{""coordinates"":[[[-83.472796,35.586319],[-83.472585,35.58657],[-83.472437,35.586895],[-83.47237,35.587158],[-83.472384,35.587488],[-83.472397,35.587867],[-83.472417,35.58815],[-83.472438,35.588433],[-",37,173,1008588,37173,Swain,Swain County,6,H1,G4020,,19000,,A,"1,366,810,463","32,416,167",35.5688491,-83.4656136,173
,88,NC,"35.2021778635, -82.7983001279","{""coordinates"":[[[-82.981211,35.16764],[-82.981149,35.1678],[-82.981234,35.167893],[-82.981248,35.16799],[-82.981242,35.16826],[-82.981243,35.168567],[-82.981243,35.168605],[-82.981244,35.16864],[-82.",37,175,1008589,37175,Transylvania,Transylvania County,6,H1,G4020,120,14820,,A,"979,930,393","5,103,716",35.2101025,-82.816666,175
,89,NC,"35.8694070017, -76.1704523585","{""coordinates"":[[[-76.125756,36.064906],[-76.124648,36.065088],[-76.124648,36.065151],[-76.101065,36.069526],[-76.090484,36.072109],[-76.076074,36.075629],[-76.058217,36.080593],[-76.049529,36.084263]",37,177,1026332,37177,Tyrrell,Tyrrell County,6,H1,G4020,,,,A,"1,012,103,918","534,574,451",35.8704196,-76.1653454,177
,90,NC,"34.9883574887, -80.5307400446","{""coordinates"":[[[-80.628302,35.145725],[-80.626707,35.146999],[-80.626166,35.147447],[-80.624413,35.148858],[-80.624285,35.148961],[-80.624044,35.149155],[-80.621915,35.150872],[-80.620207,35.152244]",37,179,1008590,37179,Union,Union County,6,H1,G4020,172,16740,,A,"1,638,745,719","17,924,710",34.9918204,-80.5304264,179
,91,NC,"36.3649169333, -78.4079288849","{""coordinates"":[[[-78.509738,36.315245],[-78.50977,36.318373],[-78.509799,36.321064],[-78.509811,36.322314],[-78.509845,36.325542],[-78.509902,36.330841],[-78.510031,36.342925],[-78.510108,36.350162],",37,181,1008591,37181,Vance,Vance County,6,H1,G4020,450,25780,,A,"653,713,542","42,178,610",36.3654806,-78.4054343,181
,92,NC,"35.7902443741, -78.6503081729","{""coordinates"":[[[-78.801972,35.926972],[-78.801758,35.926929],[-78.801218,35.926821],[-78.801028,35.926783],[-78.800874,35.926752],[-78.800688,35.926715],[-78.800534,35.926684],[-78.800393,35.926656]",37,183,1008592,37183,Wake,Wake County,6,H1,G4020,450,39580,,A,"2,162,195,848","58,055,278",35.7898464,-78.650624,183
,93,NC,"36.3965102811, -78.1067171324","{""coordinates"":[[[-78.264317,36.544325],[-78.263984,36.544328],[-78.263636,36.544332],[-78.263289,36.544335],[-78.26294,36.544338],[-78.262593,36.544341],[-78.262246,36.544344],[-78.261898,36.544347],",37,185,1008593,37185,Warren,Warren County,6,H1,G4020,,,,A,"1,112,117,463","38,615,563",36.3981051,-78.0998993,185
,94,NC,"35.8392646425, -76.5693098876","{""coordinates"":[[[-76.715179,35.705416],[-76.715374,35.705421],[-76.715711,35.705422],[-76.716048,35.705423],[-76.716385,35.705424],[-76.716722,35.705424],[-76.717059,35.705425],[-76.717396,35.705426]",37,187,1026331,37187,Washington,Washington County,6,H1,G4020,,,,A,"897,456,203","195,282,199",35.844713,-76.5722906,187
,95,NC,"36.2311062795, -81.6964250718","{""coordinates"":[[[-81.856781,36.19368],[-81.856882,36.193704],[-81.857147,36.193675],[-81.857484,36.193625],[-81.857821,36.193574],[-81.858496,36.193473],[-81.85917,36.193372],[-81.859844,36.193272],[",37,189,1008594,37189,Watauga,Watauga County,6,H1,G4020,,14380,,A,"809,217,076","2,275,614",36.2353679,-81.7098875,189
,96,NC,"35.3639599672, -78.0039971272","{""coordinates"":[[[-78.124808,35.473552],[-78.124773,35.473622],[-78.124731,35.473706],[-78.124714,35.473742],[-78.124426,35.474309],[-78.123788,35.475574],[-78.123363,35.476407],[-78.122494,35.478071]",37,191,1026128,37191,Wayne,Wayne County,6,H1,G4020,,24140,,A,"1,434,643,400","9,850,061",35.3541896,-78.0086695,191
,97,NC,"36.2062757623, -81.1633856618","{""coordinates"":[[[-81.387537,36.284858],[-81.38727,36.284919],[-81.386963,36.284989],[-81.386625,36.285067],[-81.386286,36.285145],[-81.385998,36.285302],[-81.38571,36.28546],[-81.385422,36.285618],[-",37,193,1008595,37193,Wilkes,Wilkes County,6,H1,G4020,,35900,,A,"1,954,249,757","6,862,433",36.2088833,-81.1660949,193
,98,NC,"35.7051457145, -77.9186629547","{""coordinates"":[[[-78.038023,35.787519],[-78.036973,35.78792],[-78.035475,35.788493],[-78.035163,35.788612],[-78.03506,35.788654],[-78.032826,35.789505],[-78.032708,35.789551],[-78.030603,35.790355],[",37,195,1008596,37195,Wilson,Wilson County,6,H1,G4020,468,48980,,A,"951,946,703","14,398,771",35.7003569,-77.9215978,195
,99,NC,"36.1605336919, -80.6652439331","{""coordinates"":[[[-80.874927,36.198794],[-80.874872,36.199429],[-80.874774,36.200762],[-80.87472,36.201612],[-80.874669,36.202404],[-80.874656,36.202577],[-80.874642,36.202873],[-80.874615,36.203275],",37,197,1008597,37197,Yadkin,Yadkin County,6,H1,G4020,268,49180,,A,"867,496,099","7,232,594",36.1587653,-80.6651641,197
,100,NC,"35.8989479924, -82.3076279784","{""coordinates"":[[[-82.460461,36.007889],[-82.460295,36.008142],[-82.460128,36.008394],[-82.459961,36.008647],[-82.459762,36.008943],[-82.459562,36.009238],[-82.459363,36.009534],[-82.459161,36.009832]",37,199,1008598,37199,Yancey,Yancey County,6,H1,G4020,,,,A,"809,610,027","1,524,561",35.8893259,-82.3039535,199